                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92577,                 6.2035,                0.89475,                0.00425,                 0.3207,                0.01428,                0.00929,                0.72448,                 5.5259,                0.79671,              0.0001875,              0.0001875,              0.0001875
                      2,                0.88783,                 4.8985,                0.86841,                0.00463,                0.25906,                 0.0105,                 0.0075,                0.67622,                 5.3602,                  0.801,             0.00037791,             0.00037791,             0.00037791
                      3,                0.83069,                 4.0239,                0.85993,                0.00074,                0.17303,                0.00107,                0.00096,                0.67844,                 5.0827,                0.81048,             0.00055842,             0.00055842,             0.00055842
                      4,                0.82303,                 3.1277,                0.86348,                0.00467,                0.85987,                 0.4592,                0.36709,                0.78016,                 4.6396,                0.83718,             0.00072903,             0.00072903,             0.00072903
                      5,                0.84744,                 3.0119,                0.85308,                      1,                 0.2451,                0.83974,                0.67066,                 0.7618,                 4.1538,                0.84271,             0.00088974,             0.00088974,             0.00088974
                      6,                 0.8361,                 2.7399,                0.86825,                0.96035,                0.63408,                0.93379,                0.77097,                0.76988,                 3.5912,                0.85692,              0.0010405,              0.0010405,              0.0010405
                      7,                0.76752,                 2.3051,                0.87294,                 0.9005,                0.89321,                0.96865,                0.79017,                0.72054,                 2.9532,                0.83856,              0.0010644,              0.0010644,              0.0010644
                      8,                0.75846,                 2.3575,                0.86157,                0.94217,                0.91849,                 0.9783,                0.80143,                 0.7439,                 2.5701,                 0.8531,              0.0010644,              0.0010644,              0.0010644
                      9,                0.70542,                 2.0557,                0.85882,                0.96053,                0.90468,                0.96763,                0.82493,                0.62811,                  2.037,                0.82958,              0.0010334,              0.0010334,              0.0010334
                     10,                 0.7408,                 1.9444,                0.86691,                0.97556,                 0.9183,                0.97577,                0.83691,                0.61369,                 1.8187,                0.82415,              0.0010025,              0.0010025,              0.0010025
                     11,                0.72702,                 1.7985,                 0.8458,                0.98253,                0.95356,                0.98193,                0.82718,                0.62448,                 1.6193,                0.82218,             0.00097156,             0.00097156,             0.00097156
                     12,                0.71419,                 1.7205,                0.84469,                0.95599,                 0.9665,                0.98212,                0.80715,                0.73781,                 1.7014,                0.85381,             0.00094062,             0.00094062,             0.00094062
                     13,                0.67473,                 1.5356,                0.83889,                0.94726,                0.96612,                0.98195,                0.84604,                0.59847,                 1.4636,                0.82429,             0.00090969,             0.00090969,             0.00090969
                     14,                0.64253,                 1.5228,                0.83588,                0.99372,                 0.9512,                0.98183,                0.84952,                0.59376,                 1.4131,                0.81685,             0.00087875,             0.00087875,             0.00087875
                     15,                0.65563,                 1.4471,                0.84013,                0.93182,                0.94382,                 0.9806,                0.83162,                0.63283,                 1.3661,                0.82817,             0.00084781,             0.00084781,             0.00084781
                     16,                0.64885,                 1.4006,                0.83626,                0.98295,                0.95058,                0.98806,                0.85121,                0.58155,                  1.279,                 0.8193,             0.00081688,             0.00081688,             0.00081688
                     17,                0.61969,                  1.315,                0.84343,                0.99644,                0.94665,                0.98429,                0.86814,                 0.5361,                 1.1714,                0.80993,             0.00078594,             0.00078594,             0.00078594
                     18,                0.65848,                 1.1866,                  0.845,                0.99791,                 0.9534,                0.98342,                0.84134,                0.66728,                 1.1531,                0.83241,               0.000755,               0.000755,               0.000755
                     19,                0.64088,                 1.1519,                0.83039,                0.98759,                0.95527,                0.98156,                0.86458,                0.53741,                 1.0704,                0.80683,             0.00072406,             0.00072406,             0.00072406
                     20,                0.60784,                 1.1071,                0.83461,                 0.9922,                0.95654,                0.98582,                0.83985,                0.66272,                 1.0638,                0.82755,             0.00069313,             0.00069313,             0.00069313
                     21,                0.63935,                 1.0747,                0.82806,                0.99184,                0.96395,                0.98958,                 0.8579,                0.57748,                  1.041,                0.81146,             0.00066219,             0.00066219,             0.00066219
                     22,                0.61144,                 1.0107,                0.82637,                0.99132,                0.95454,                0.99122,                0.86959,                0.59619,                 1.0037,                0.81323,             0.00063125,             0.00063125,             0.00063125
                     23,                0.60626,                 1.0206,                0.82711,                0.99308,                0.95943,                0.99054,                0.86148,                0.60857,                0.94352,                0.81556,             0.00060031,             0.00060031,             0.00060031
                     24,                0.59266,                 0.9348,                0.82329,                0.98424,                 0.9645,                0.99263,                0.87409,                0.55921,                0.87819,                0.80916,             0.00056938,             0.00056938,             0.00056938
                     25,                0.57341,                0.92212,                0.82579,                0.98648,                0.96314,                0.99327,                0.85615,                0.60162,                0.86976,                0.81315,             0.00053844,             0.00053844,             0.00053844
                     26,                0.56413,                0.92232,                0.81418,                0.99418,                0.96214,                0.99246,                0.87101,                0.56975,                0.85952,                 0.8056,              0.0005075,              0.0005075,              0.0005075
                     27,                0.56976,                0.88382,                 0.8188,                0.98666,                0.97693,                0.99427,                 0.8722,                0.60251,                0.82575,                0.81614,             0.00047656,             0.00047656,             0.00047656
                     28,                0.59665,                0.85721,                0.81413,                 0.9878,                 0.9788,                0.99414,                 0.8784,                0.56456,                0.81628,                  0.811,             0.00044563,             0.00044563,             0.00044563
                     29,                0.54416,                0.82823,                0.81314,                0.99424,                0.95984,                0.99325,                0.89531,                0.54303,                0.79207,                0.80455,             0.00041469,             0.00041469,             0.00041469
                     30,                0.56087,                0.81853,                0.81071,                0.98619,                0.96895,                0.99418,                0.88381,                0.57063,                0.78214,                0.81161,             0.00038375,             0.00038375,             0.00038375
                     31,                0.54792,                 1.1147,                0.81434,                0.99073,                0.97008,                0.99307,                0.87192,                0.58237,                0.77587,                0.81463,             0.00035281,             0.00035281,             0.00035281
